Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8
65,Urson,Tuftin,6156-5887,P,Bolivia,$21366.91,06/06/2017
66,Gabie,Hugueville,1509-0271,J,Chile,$30085.23,28/05/2017
67,Jeremy,Vero,6279-6101,H,Bolivia,$45193.53,16/11/2017
68,Austine,Cohr,0467-4742,G,Uruguay,$13892.25,13/02/2017
69,Ruddy,Gook,2040-7466,M,Bolivia,$36830.36,11/01/2017
70,Tudor,Corzor,5972-7594,P,Peru,$17946.39,20/11/2017
71,Nerissa,Corday,9596-0996,I,Bolivia,$15629.07,29/06/2017
72,Bat,Osan,1266-7391,L,Peru,$42380.74,03/08/2017
73,,Bauldry,4273-6583,B,Colombia,$18676.16,14/06/2017
74,Alyson,Neles,8277-3789,K,Bolivia,$30853.57,05/03/2017
75,Dud,Demetr,9699-9920,H,Argentina,$29680.01,21/01/2017
76,Freeland,Simionato,7583-9657,M,Colombia,$38929.06,25/06/2017
77,Lesli,Newburn,7374-3640,A,Argentina,$16960.70,15/01/2017
78,Jemima,Buchanan,6899-7453,K,Bolivia,$48430.78,19/01/2017
79,Sebastiano,Normabell,6438-8210,A,Brasil,$25333.96,29/05/2017
80,Siana,Gwynn,2684-7481,Q,Argentina,$18672.64,11/10/2017
81,Godwin,Benardeau,7205-0906,A,Bolivia,$48651.39,16/11/2017
82,Sammy,Benninger,0793-5129,B,Chile,$22894.22,26/08/2017
83,Bryn,Barrett,4990-0648,I,Brasil,$43407.19,
84,Arlinda,Noddle,5848-9024,N,Uruguay,$17934.37,11/03/2017
85,Hertha,Farrens,6841-9046,D,Uruguay,$5498.51,11/02/2017
86,Theodoric,Seemmonds,3029-5316,C,Argentina,$1961.78,14/07/2017
87,Charisse,Giblin,2337-9570,H,Bolivia,$10931.21,18/08/2017
88,Marni,Linder,6975-9381,K,Brasil,$644.67,22/08/2017
89,Timothee,Spittal,4091-0176,L,Bolivia,$41910.80,07/07/2017
90,Rutter,Bourdice,8398-4963,I,Bolivia,$6327.42,15/07/2017
91,,Bishop,6043-3993,C,Argentina,$39915.64,06/08/2017
92,Jackquelin,Causbey,5361-3382,C,Argentina,$16631.83,23/07/2017
93,Lora,Coode,8204-1362,Q,Brasil,$13205.00,05/10/2017
94,Laurel,McMenamy,4777-5484,A,Argentina,$10903.24,27/09/2017
95,Jonathon,Manis,0032-9997,J,Brasil,$1613.03,14/10/2017
96,Donna,Anlay,2067-7899,H,Peru,$15039.50,18/06/2017
97,Granny,Punter,9563-4444,C,Colombia,$14321.24,28/03/2017
98,Alysia,Ratledge,1472-5163,F,Uruguay,$46626.14,25/05/2017
99,Fairleigh,Medlen,7563-6507,I,Uruguay,$30324.38,08/11/2017
100,,Buckler,7260-7363,S,Brasil,$46813.73,25/09/2017
101,,Goodluck,8371-8164,O,Peru,$46631.73,12/02/2017
102,Clarinda,Bagnell,6662-9353,Q,Colombia,$47487.72,13/12/2017
103,,Whorall,3575-8142,T,Brasil,$17779.63,15/05/2017
104,Hazlett,Chazotte,9526-0288,D,Argentina,$40323.71,14/12/2017
105,Terrance,Jenicke,8374-9029,K,Colombia,$20182.67,05/03/2017
106,Carmine,Maryon,2981-8539,Q,Peru,$11097.78,08/02/2017
107,Joane,Bolt,5574-6342,N,Argentina,$9569.58,31/07/2017
108,Darelle,Nutter,1961-4839,T,Peru,$49933.73,26/01/2017
109,Sheelagh,Wadeling,1501-6112,M,Bolivia,$48733.51,23/04/2017
110,Letizia,Ouslem,5480-3878,T,Peru,$37717.17,24/11/2017
111,Erv,Bourne,7384-2058,O,Bolivia,$2018.49,15/10/2017
112,Milo,Worsham,6765-7920,I,Brasil,$39472.03,20/01/2017
113,Alta,Ogilvy,2648-3164,T,Colombia,$23560.73,28/01/2017
114,Duke,Grayland,1738-0987,Q,Argentina,$11494.98,27/10/2017
115,Oneida,Farron,2170-4420,P,Argentina,$11646.56,24/11/2017
116,Randolf,Vollam,0004-9578,F,Bolivia,$28844.33,09/12/2017
117,Quinta,Wingham,6316-3029,O,Peru,$33103.43,18/08/2017
118,Annamarie,MacElroy,7533-2919,A,Argentina,$35771.26,22/03/2017
119,,Nipper,6638-9379,O,Colombia,$43062.11,
120,Wilma,MacRirie,2734-8343,J,Uruguay,$49993.30,13/09/2017
121,,Oels,1606-3011,D,Brasil,$49033.14,07/11/2017
122,Holt,Kulver,2195-7972,A,Colombia,$18557.14,14/06/2017
123,Onida,Benedetti,1915-3619,Q,Brasil,$23785.04,18/04/2017
124,Elisabeth,Sidaway,7328-9356,L,Peru,$3571.78,28/08/2017
125,Max,Platt,3780-7785,J,Bolivia,$29285.55,18/05/2017
126,Ted,Lipyeat,6723-8277,L,Uruguay,$8373.12,08/12/2017
127,Fulvia,Culkin,9002-0529,K,Uruguay,$30757.76,03/01/2017
128,Krystyna,Whitfeld,7302-9729,O,Brasil,$10140.39,21/09/2017
129,Jaclin,Tolhurst,8544-7161,A,Bolivia,$47835.67,06/09/2017
130,Wanda,Perez,5639-6418,J,Argentina,$29143.05,22/06/2017
131,,Rentoll,9859-4134,T,Colombia,$6487.73,20/08/2017
132,,Masedon,9253-1848,H,Brasil,$41689.57,09/07/2017
133,Calvin,Houchen,5275-9086,T,Brasil,$27549.42,23/06/2017
134,Abramo,O'Mailey,6929-4321,H,Argentina,$29571.98,20/03/2017
135,Trevar,Bunnell,2859-9293,O,Brasil,$12753.66,17/02/2017
136,Paulie,Gatenby,7289-6084,S,Brasil,$5854.31,14/03/2017
137,Peder,Smallman,6918-9823,H,Argentina,$41884.59,24/11/2017
138,,Boler,8826-3757,B,Brasil,$36959.77,13/12/2017
139,Darrick,Laxtonne,9467-9035,R,Colombia,$40678.28,18/02/2017
140,Alis,Merigot,6225-1747,L,Argentina,$49423.96,04/06/2017
141,Arabelle,Pryke,0579-6328,J,Colombia,$31022.84,28/08/2017
142,Roz,Blythe,2190-3838,R,Chile,$13243.36,09/11/2017
143,Bartholomew,Wildber,2177-6299,R,Bolivia,$42233.49,20/10/2017
144,Wanda,Davitt,0318-3829,K,Uruguay,$7006.70,04/12/2017
145,Willie,Flecknell,8689-5898,I,Argentina,$1296.67,07/04/2017
146,Mavra,O'Sheilds,5944-1303,F,Chile,$27740.40,20/11/2017
147,Auroora,Cannaway,7747-5942,K,Peru,$22051.36,27/07/2017
148,Robinet,Stovold,1897-2220,E,Chile,$41680.04,13/09/2017
149,Ranique,Trythall,1646-2122,M,Argentina,$43053.26,24/04/2017
150,Elora,Curle,8859-2198,R,Brasil,$3280.56,17/10/2017
151,Tam,Cruickshanks,2697-4744,G,Argentina,$15918.58,09/08/2017
152,Norbert,Baptie,7886-1253,R,Argentina,$1057.74,11/03/2017
153,,Gareisr,9034-5810,L,Uruguay,$3655.12,02/10/2017
154,Shannon,Mowday,8047-5214,R,Brasil,$9882.84,09/06/2017
155,Terrel,Newgrosh,7686-3433,G,Colombia,$3658.21,02/05/2017
156,Susanetta,Gozzett,2645-8375,T,Colombia,$12866.35,03/01/2017
157,Packston,Skivington,2680-5404,R,Colombia,$38191.93,22/03/2017
158,Halli,Perrinchief,7257-9620,N,Chile,$8916.84,
159,Percy,Newell,3205-4344,S,Argentina,$35166.04,15/06/2017
160,Maddie,Marmon,8990-1288,J,Uruguay,$9398.52,02/09/2017
161,Faina,O'Sculley,9303-1578,Q,Argentina,$7512.28,24/08/2017
162,Kearney,Augustine,8741-2949,I,Argentina,$19408.88,10/06/2017
163,Sylvan,Fadian,7498-2141,G,Colombia,$42860.23,24/10/2017
164,Craggie,Sheehy,6517-2007,F,Brasil,$35387.86,18/02/2017
165,Bernete,Kitney,9136-5105,E,Chile,$19896.15,05/09/2017
166,Lamar,Skey,1663-1683,E,Uruguay,$17439.42,02/06/2017
167,Druci,Parram,4998-0442,E,Bolivia,$22521.71,14/10/2017
168,,Moralis,1393-8948,F,Chile,$6150.64,10/05/2017
169,Zolly,Collman,5406-5034,I,Argentina,$18008.88,28/09/2017
170,Farlie,Headey,8055-6018,K,Argentina,$10099.37,11/11/2017
171,Alma,Deackes,2420-0322,P,Brasil,$43781.79,19/12/2017
172,Conchita,Eggleton,2833-1791,L,Peru,$42735.09,01/04/2017
173,Godard,Grenshields,4105-7808,H,Peru,$42236.77,03/02/2017
174,Neel,Cowherd,1826-9838,R,Peru,$2546.27,12/08/2017
175,Mommy,Zanitti,9682-8236,Q,Argentina,$41653.71,18/01/2017
176,Tybi,Charlesworth,7899-5568,L,Bolivia,$34607.31,26/12/2017
177,Kassie,Lansly,7418-0766,F,Uruguay,$14917.88,28/08/2017
178,Hamel,Hurran,1555-4488,G,Chile,$24498.57,22/06/2017
179,Miranda,Leonards,6583-0403,T,Bolivia,$36626.65,04/05/2017
180,Kimberley,Barcke,9938-3648,P,Uruguay,$43908.66,18/03/2017
181,,Dowber,0724-7919,O,Uruguay,$6080.29,14/01/2017
182,Clerissa,Gadsby,4936-0451,R,Uruguay,$29155.38,13/12/2017
183,Iormina,Inch,4933-6845,D,Chile,$5951.44,30/08/2017
184,Inness,Drew,4462-6361,L,Chile,$19056.74,30/03/2017
185,Talbert,Lax,9708-3620,N,Chile,$14935.82,25/09/2017
186,Louisette,Hacquard,9309-7218,A,Uruguay,$15945.19,18/02/2017
187,Torrey,Cromly,7505-6827,A,Uruguay,$15822.97,03/04/2017
188,Jourdain,Orhrt,3076-3628,L,Uruguay,$2260.65,03/08/2017
189,Rayner,Crollman,1116-8782,J,Peru,$38917.85,31/03/2017
190,Bambie,Kindread,7302-7298,C,Uruguay,$19589.52,28/07/2017
191,Alisa,Carbry,6062-2870,M,Argentina,$20621.13,10/08/2017
192,,McEntee,5481-2225,A,Bolivia,$22965.89,29/03/2017
193,Ford,Duggary,0282-7651,N,Argentina,$9779.47,16/05/2017
194,,Yalden,7698-6673,R,Colombia,$1600.02,28/08/2017
195,,Dangerfield,8030-5297,K,Argentina,$21956.64,29/07/2017
196,Laryssa,Pinder,4829-3382,H,Argentina,$660.48,05/08/2017
197,Ervin,Snedker,7099-4823,I,Argentina,$12021.17,
198,Kimble,Ramelet,1538-3901,A,Chile,$31428.39,13/07/2017
199,Pietrek,Monument,9736-7633,A,Bolivia,$36970.04,29/06/2017
200,Blondell,Sedgeworth,1395-9982,A,Bolivia,$36313.61,26/10/2017
201,Kenna,Garahan,8576-3406,J,Uruguay,$43290.23,29/11/2017
202,Cherida,Spino,4861-7584,A,Uruguay,$44184.31,13/11/2017
203,Laverne,Collaton,5758-0669,B,Peru,$26745.68,02/12/2017
204,Otto,Tremouille,4661-6600,B,Chile,$5884.19,21/05/2017
205,Gorden,Limon,3375-5434,P,Colombia,$28516.83,07/06/2017
206,Cherin,Gaddie,6706-9297,H,Peru,$48354.37,09/04/2017
207,Milly,Schaffel,4843-1885,B,Bolivia,$49643.93,06/02/2017
208,Janetta,Ronci,9023-5235,D,Peru,$37911.19,19/11/2017
209,Viviana,Antushev,5141-4461,F,Brasil,$6809.90,15/08/2017
210,Pearce,Lathleiff,8995-9934,H,Colombia,$39390.72,06/03/2017
211,Marchall,Apperley,3365-4979,N,Brasil,$3048.09,18/05/2017
212,Adria,Heartfield,7219-3386,K,Brasil,$26828.65,09/07/2017
213,Tiffi,Morgan,6369-8333,G,Uruguay,$4600.48,12/03/2017
214,Gustavo,Woolaghan,3409-7026,K,Brasil,$27706.38,16/11/2017
215,Conan,Daunay,4239-6161,T,Peru,$45427.85,16/05/2017
216,,Durbin,2576-7849,Q,Bolivia,$32432.02,16/02/2017
217,Tristan,Tuhy,5229-3823,N,Peru,$34104.33,09/04/2017
218,Ly,Deaton,0876-3461,O,Chile,$8626.84,22/08/2017
219,Antonia,Hayselden,9910-4739,B,Uruguay,$39826.01,21/06/2017
220,Mariel,Chidley,9067-4858,I,Uruguay,$43990.13,16/12/2017
221,Jack,Dubique,8544-6459,T,Uruguay,$5389.55,25/09/2017
222,Maris,Ryland,9897-2623,E,Bolivia,$36079.06,28/07/2017
223,Ferdinanda,Adriaan,8332-9792,F,Argentina,$47354.93,13/05/2017
224,Roxane,Montford,9580-2133,A,Bolivia,$44849.01,15/03/2017
225,Malorie,Sherrocks,3729-1592,J,Peru,$47061.72,19/11/2017
226,Zacherie,McIlraith,0822-3274,C,Bolivia,$10644.76,09/04/2017
227,Jeremy,Ickov,3357-0477,Q,Uruguay,$15907.76,17/01/2017
228,Lindi,McAneny,5952-2404,C,Colombia,$44977.28,29/12/2017
229,,Farnham,9471-0457,G,Argentina,$48562.62,11/10/2017
230,Shannon,Leggis,8788-1553,S,Chile,$3221.07,
231,Dottie,Divers,8336-4989,B,Argentina,$8109.57,21/05/2017
232,Vinnie,Itzchaky,7402-8016,J,Chile,$33631.37,27/07/2017
233,Aggie,Bool,4585-2312,K,Chile,$40271.06,09/03/2017
234,Delmore,Venditti,9918-4266,B,Colombia,$31942.19,19/09/2017
235,Marcile,Hickisson,1481-6137,J,Bolivia,$12523.20,22/07/2017
236,Johannes,Elkin,4493-3490,S,Colombia,$25757.65,07/03/2017
237,Lin,Izakson,9376-8533,E,Brasil,$43264.70,02/11/2017
238,,Pieters,0885-2022,Q,Chile,$47733.62,30/08/2017
239,,Iannello,0602-3125,L,Uruguay,$22455.78,05/08/2017
240,Matias,Sudlow,0527-7170,E,Uruguay,$16541.88,15/08/2017
241,Allin,Iacomini,5731-0063,R,Peru,$31195.26,01/04/2017
242,Horten,Wathey,9435-6970,L,Bolivia,$27894.61,03/02/2017
243,Samson,Standen,6580-0573,J,Brasil,$5640.51,23/02/2017
244,Graeme,Whiteway,9774-0129,E,Chile,$49039.67,04/05/2017
245,Dulce,Causer,3184-4096,M,Colombia,$30961.68,09/03/2017
246,Teodora,Leither,4560-3548,N,Argentina,$11292.50,29/09/2017
247,Noellyn,Kintish,7778-0582,E,Brasil,$41028.23,24/10/2017
248,Deerdre,Gentsch,9683-0344,K,Colombia,$44233.66,22/01/2017
249,Janine,Readwood,4257-9113,Q,Peru,$9949.11,27/04/2017
250,Budd,Van der Brugge,8350-8051,R,Uruguay,$31270.93,13/03/2017
251,Kat,Kimblin,2097-0561,A,Peru,$18662.13,02/09/2017
252,Thia,McGeever,7753-6562,L,Peru,$46515.12,12/10/2017
253,Kit,Bicknell,4394-9352,M,Brasil,$35938.76,21/05/2017
254,Ollie,Pechard,6505-9594,S,Peru,$43139.22,29/07/2017
255,Zachery,Stannah,1620-5247,G,Chile,$6926.81,03/05/2017
256,Ganny,Windmill,6559-2731,D,Peru,$9259.16,26/07/2017
257,Ronny,Kopfen,9414-2323,K,Peru,$9742.96,28/02/2017
258,Ingelbert,Dugood,2923-0662,P,Chile,$27731.59,18/02/2017
259,,Selvey,1539-8162,C,Uruguay,$5803.44,24/10/2017
260,Rivy,Mully,8373-1435,O,Peru,$27006.26,25/11/2017
261,Lisbeth,Tunnick,6258-0167,C,Peru,$1120.89,14/06/2017
262,Foster,Faull,7398-4549,K,Peru,$8879.30,19/02/2017
263,Hewe,Whitwell,6385-3705,T,Chile,$6278.58,18/02/2017
264,Adriano,Charpin,3201-4924,T,Peru,$23338.32,18/03/2017
265,Zuzana,Clews,9367-8773,M,Chile,$6735.34,11/08/2017
266,Gilberta,Stuchburie,8731-8623,M,Argentina,$23920.06,29/03/2017
267,Aundrea,Scoyne,7981-1346,R,Chile,$11675.31,13/01/2017
268,Rodina,Dyball,8968-1247,N,Uruguay,$30298.16,19/03/2017
269,,Kiljan,7462-3533,I,Colombia,$4530.49,08/02/2017
270,Bernadine,Whittaker,4907-8703,T,Brasil,$29864.42,01/04/2017
271,,Kose,0816-6916,O,Uruguay,$8349.14,27/11/2017
272,Palmer,Skouling,8686-9232,G,Brasil,$33195.30,18/06/2017
273,Britney,Fleetham,4213-7921,F,Peru,$3645.88,15/04/2017
274,Ashil,McGuggy,3643-3070,T,Chile,$18362.26,11/01/2017
275,Drake,Haskett,7971-1753,Q,Brasil,$21741.76,30/04/2017
276,Artemus,Stuchberry,0722-6147,F,Chile,$9022.84,21/06/2017
277,Winfred,Sainte Paul,7193-0228,O,Brasil,$29585.39,27/01/2017
278,Benedikta,Munden,4521-6623,K,Peru,$32518.24,14/09/2017
279,Mavis,Eronie,8959-5737,G,Uruguay,$41409.85,02/08/2017
280,Rafaelita,Wellwood,6848-0361,C,Chile,$42147.66,17/02/2017
281,,Del Monte,2464-2506,P,Uruguay,$7276.93,08/09/2017
282,Trey,Chace,2620-8150,I,Colombia,$9496.65,
283,Fanni,Philippsohn,9044-8992,M,Colombia,$25544.13,28/02/2017
284,,Baily,4624-2405,S,Bolivia,$41845.80,08/02/2017
285,,Wernher,2972-4643,L,Brasil,$3167.81,06/09/2017
286,,Kitter,0283-7084,D,Bolivia,$21655.06,31/10/2017
287,Tynan,Ragborne,6665-7146,L,Bolivia,$31030.65,11/09/2017
288,Conny,Fownes,8890-5321,C,Argentina,$35852.57,13/09/2017
289,Yanaton,Legan,3870-4600,C,Uruguay,$44956.61,19/01/2017
290,Tobe,Loughney,4944-9666,G,Uruguay,$8586.06,12/06/2017
291,Karyn,Sailer,4050-1951,J,Uruguay,$22371.49,02/03/2017
292,,Cluely,9938-1517,R,Chile,$48119.05,06/12/2017
293,Parke,Bickell,2425-8470,I,Brasil,$37217.42,27/04/2017
294,Douglass,Arendt,1481-0045,E,Peru,$12694.72,04/12/2017
295,Marice,Rivlin,3425-2997,E,Peru,$29453.88,15/08/2017
296,Teresita,O'Farrell,7007-4693,J,Peru,$22301.92,13/09/2017
297,Adolpho,Gyford,3944-1603,O,Bolivia,$37005.07,05/10/2017
298,,Haggett,7300-4993,Q,Uruguay,$46208.26,24/02/2017
299,Herbie,Phillips,4445-6967,A,Uruguay,$1726.07,07/07/2017
300,Reeta,Stallworth,0032-3591,S,Colombia,$9425.78,01/06/2017
301,Torie,Mogenot,1246-6656,S,Chile,$36068.54,04/02/2017
302,Garrot,Filip,7146-5280,I,Uruguay,$33185.93,13/03/2017
303,Cort,Kippling,5918-1093,L,Brasil,$33041.34,01/02/2017
304,Patricia,Kerford,0949-6372,C,Chile,$1815.33,09/07/2017
305,Carney,Crompton,3705-9086,H,Uruguay,$31660.11,14/11/2017
306,,Plank,3100-2627,K,Brasil,$44263.09,10/02/2017
307,Quinn,Casse,2944-0383,M,Colombia,$20111.75,03/02/2017
308,Roze,Banishevitz,2514-5925,R,Brasil,$8859.86,19/10/2017
309,Desirae,Mizen,8119-2626,R,Bolivia,$16044.91,11/11/2017
310,,Chicken,3993-0838,K,Colombia,$22503.74,18/05/2017
311,Margeaux,Trebbett,8256-0691,I,Argentina,$1164.37,08/12/2017
312,,McKibbin,7116-9205,S,Chile,$22259.91,30/12/2017
313,,Vallow,3051-7866,D,Argentina,$11922.84,06/08/2017
314,,Mossop,9149-2304,D,Colombia,$1543.88,22/02/2017
315,,Trouel,2629-4061,E,Uruguay,$16897.47,26/08/2017
316,Washington,Slayny,0714-0240,M,Peru,$33219.31,15/06/2017
317,Jacquette,Dureden,7497-0749,P,Colombia,$1076.99,24/06/2017
318,,Reams,2206-0859,O,Chile,$48776.81,09/12/2017
319,Hodge,Winsiowiecki,4419-2796,H,Uruguay,$38123.39,28/03/2017
320,Alf,Bellows,4903-4220,H,Bolivia,$49343.02,26/10/2017
321,Josiah,Wabey,9166-8221,L,Chile,$41843.00,07/04/2017
322,Rhys,Valentine,5478-2837,B,Uruguay,$15532.53,15/09/2017
323,Cody,Shakle,0576-4282,N,Brasil,$12083.62,28/05/2017
324,Esme,Alcott,0401-3092,J,Chile,$26851.54,03/12/2017
325,Stacy,Scatchar,4652-2249,C,Brasil,$21415.19,10/02/2017
326,Kylie,Autin,5622-8411,F,Bolivia,$43364.09,09/03/2017
327,Anna-maria,Kenset,6490-9506,T,Peru,$30862.49,30/03/2017
328,Randy,Thornebarrow,8968-7588,P,Argentina,$41431.91,15/09/2017
329,Prentice,Keymer,0272-2362,Q,Colombia,$11966.70,05/11/2017
330,Ashlan,O'Hannay,1714-6063,C,Argentina,$5895.52,05/01/2017
331,Gene,Daid,1210-5746,H,Uruguay,$18587.17,18/06/2017
332,Hugh,Godfroy,9707-8946,F,Colombia,$23355.79,12/09/2017
333,Guido,Kelloway,4830-0045,K,Bolivia,$5007.85,01/06/2017
334,Donelle,Vaulkhard,0747-7682,A,Uruguay,$36016.02,09/08/2017
335,Carlen,Bradnam,8939-9023,G,Argentina,$9567.94,17/11/2017
336,Feliks,Staniforth,1438-0248,M,Chile,$7456.17,19/04/2017
337,Ketty,Pietzner,9914-3126,K,Colombia,$48090.86,26/09/2017
338,Eal,Driussi,8334-1600,S,Bolivia,$15975.28,31/10/2017
339,Roderich,Rippen,3751-4438,S,Colombia,$1214.97,30/05/2017
340,Sanson,Pentelow,3436-8148,T,Peru,$37751.69,20/04/2017
341,Mallorie,Blackaller,0922-0019,E,Bolivia,$4567.62,28/06/2017
342,Theda,Westmerland,3555-7559,A,Peru,$49975.46,13/12/2017
343,Talyah,Feaks,8999-3995,O,Colombia,$15658.89,11/08/2017
344,Allyson,Killen,2393-2062,Q,Colombia,$30098.04,27/08/2017
345,Egbert,Christophersen,6920-1726,H,Chile,$49571.45,29/08/2017
346,Tammie,Enders,6993-1092,K,Bolivia,$39969.40,
347,Aluin,Manna,0507-0935,A,Chile,$8060.44,07/04/2017
348,Marylin,Element,3626-5445,L,Chile,$30765.74,26/10/2017
349,Catriona,Isaksson,1704-8772,O,Bolivia,$16676.66,10/07/2017
350,Minetta,FitzAlan,8132-6174,H,Argentina,$24642.96,17/11/2017
351,Trina,Mayberry,3924-6601,L,Argentina,$4080.60,20/08/2017
352,,Weaving,2357-1177,D,Chile,$21560.41,26/03/2017
353,Glenna,O'Cooney,4661-5241,G,Colombia,$17097.96,17/11/2017
354,Dela,Dobbison,4709-8875,S,Brasil,$22885.44,23/11/2017
355,Chet,Gidney,1221-1063,L,Peru,$24812.93,05/06/2017
356,Colan,Khomin,2270-6937,P,Brasil,$29017.00,25/03/2017
357,Weidar,Shurmer,1805-6254,E,Uruguay,$39404.35,20/04/2017
358,Susy,Cleare,1512-3847,Q,Uruguay,$47531.36,18/02/2017
359,Marjy,Hof,5633-9631,I,Brasil,$14140.61,22/05/2017
360,Sophey,Tock,3173-1197,J,Argentina,$8430.52,25/05/2017
361,Clemmie,Jellis,5097-6647,Q,Colombia,$43799.62,03/09/2017
362,Mabel,Zaple,3726-2600,A,Uruguay,$37579.98,27/01/2017
363,Ethelda,Shoebottom,9984-2463,D,Bolivia,$26552.80,09/10/2017
364,Wren,Brent,5647-7589,P,Brasil,$47125.82,02/08/2017
365,Yettie,McTrustram,3573-5410,Q,Uruguay,$37351.60,24/03/2017
366,Karlene,Matteoli,0375-7068,E,Brasil,$11069.26,05/07/2017
